,0,1,2,3
block_ipdg.all_avg_wall_speedup,1.0,1.819,3.738,8.032
block_ipdg.all_avg_wall_abspart,1.0,1.0,1.0,1.0
block_ipdg.all_avg_wall_wallpart,1.0,1.0,1.0,1.0
block_ipdg.all_max_usr_threadeff,0.997,0.997,0.998,0.998
block_ipdg.all_avg_usr_threadeff,0.997,0.997,0.997,0.997
single_run_max_usr_speedup,1.0,1.844,3.728,7.338
single_run_max_usr_abspart,2.036,2.007,2.04,2.227
single_run_max_usr_wallpart,2.03,2.002,2.036,2.222
single_run_avg_usr_speedup,1.0,1.848,3.773,7.698
single_run_avg_usr_abspart,2.034,2.001,2.015,2.122
single_run_avg_usr_wallpart,2.028,1.995,2.009,2.116
single_run_max_sys_speedup,1.0,1.718,4.323,7.444
single_run_max_sys_abspart,1.595,2.108,2.067,2.25
single_run_max_sys_wallpart,0.012,0.013,0.011,0.013
single_run_avg_sys_speedup,1.0,1.63,2.698,4.034
single_run_avg_sys_abspart,2.825,3.889,5.336,6.689
single_run_avg_sys_wallpart,0.001,0.001,0.001,0.002
single_run_max_wall_speedup,1.0,1.844,3.724,7.325
single_run_max_wall_abspart,2.037,2.009,2.044,2.233
single_run_max_wall_wallpart,2.037,2.009,2.044,2.233
single_run_avg_wall_speedup,1.0,1.848,3.767,7.653
single_run_avg_wall_abspart,2.035,2.003,2.019,2.136
single_run_avg_wall_wallpart,2.035,2.003,2.019,2.136
single_run_max_usr_threadeff,0.997,0.997,0.996,0.995
single_run_avg_usr_threadeff,0.996,0.996,0.995,0.991
ipdg.all_max_usr_speedup,1.0,1.884,3.877,8.031
ipdg.all_max_usr_abspart,1.03,0.994,0.992,1.029
ipdg.all_max_usr_wallpart,1.027,0.991,0.99,1.027
ipdg.all_avg_usr_speedup,1.0,1.885,3.887,8.128
ipdg.all_avg_usr_abspart,1.03,0.993,0.99,1.017
ipdg.all_avg_usr_wallpart,1.026,0.99,0.987,1.014
ipdg.all_max_sys_speedup,1.0,1.375,2.895,5.5
ipdg.all_max_sys_abspart,0.655,1.081,1.267,1.25
ipdg.all_max_sys_wallpart,0.005,0.007,0.007,0.007
ipdg.all_avg_sys_speedup,1.0,1.415,2.195,3.368
ipdg.all_avg_sys_abspart,1.558,2.47,3.618,4.418
ipdg.all_avg_sys_wallpart,0.0,0.001,0.001,0.001
ipdg.all_max_wall_speedup,1.0,1.884,3.875,8.027
ipdg.all_max_wall_abspart,1.03,0.995,0.994,1.031
ipdg.all_max_wall_wallpart,1.03,0.995,0.994,1.031
ipdg.all_avg_wall_speedup,1.0,1.884,3.875,8.028
ipdg.all_avg_wall_abspart,1.03,0.995,0.994,1.031
ipdg.all_avg_wall_wallpart,1.03,0.995,0.994,1.031
ipdg.all_max_usr_threadeff,0.997,0.997,0.996,0.996
ipdg.all_avg_usr_threadeff,0.996,0.995,0.993,0.984
all_max_usr_speedup,1.0,1.844,3.728,7.338
all_max_usr_abspart,4.072,4.015,4.081,4.454
all_max_usr_wallpart,4.061,4.004,4.071,4.444
all_avg_usr_speedup,1.0,1.848,3.773,7.698
all_avg_usr_abspart,4.069,4.003,4.03,4.244
all_avg_usr_wallpart,4.055,3.99,4.018,4.232
all_max_sys_speedup,1.0,1.718,4.323,7.444
all_max_sys_abspart,3.19,4.216,4.133,4.5
all_max_sys_wallpart,0.025,0.026,0.022,0.027
all_avg_sys_speedup,1.0,1.63,2.697,4.031
all_avg_sys_abspart,5.651,7.781,10.68,13.391
all_avg_sys_wallpart,0.002,0.002,0.002,0.003
all_max_wall_speedup,1.0,1.844,3.724,7.325
all_max_wall_abspart,4.074,4.018,4.089,4.466
all_max_wall_wallpart,4.074,4.018,4.089,4.466
all_avg_wall_speedup,1.0,1.848,3.767,7.653
all_avg_wall_abspart,4.07,4.006,4.039,4.272
all_avg_wall_wallpart,4.07,4.006,4.039,4.272
all_max_usr_threadeff,0.997,0.997,0.996,0.995
all_avg_usr_threadeff,0.996,0.996,0.995,0.991
ipdg.discretize_max_usr_speedup,1.0,2.093,3.913,8.182
ipdg.discretize_max_usr_abspart,0.008,0.007,0.008,0.008
ipdg.discretize_max_usr_wallpart,0.008,0.007,0.008,0.008
ipdg.discretize_avg_usr_speedup,1.0,2.065,4.203,8.271
ipdg.discretize_avg_usr_abspart,0.006,0.005,0.005,0.006
ipdg.discretize_avg_usr_wallpart,0.006,0.005,0.005,0.006
ipdg.discretize_max_sys_speedup,1.0,1.667,1.667,1.667
ipdg.discretize_max_sys_abspart,0.06,0.081,0.2,0.375
ipdg.discretize_max_sys_wallpart,0.0,0.001,0.001,0.002
ipdg.discretize_avg_sys_speedup,1.0,1.871,3.704,6.793
ipdg.discretize_avg_sys_abspart,0.652,0.782,0.897,0.917
ipdg.discretize_avg_sys_wallpart,0.0,0.0,0.0,0.0
ipdg.discretize_max_wall_speedup,1.0,2.066,4.022,7.871
ipdg.discretize_max_wall_abspart,0.008,0.007,0.008,0.009
ipdg.discretize_max_wall_wallpart,0.008,0.007,0.008,0.009
ipdg.discretize_avg_wall_speedup,1.0,2.061,4.191,8.25
ipdg.discretize_avg_wall_abspart,0.006,0.005,0.005,0.006
ipdg.discretize_avg_wall_wallpart,0.006,0.005,0.005,0.006
ipdg.discretize_max_usr_threadeff,0.986,0.973,1.013,0.948
ipdg.discretize_avg_usr_threadeff,0.967,0.966,0.965,0.965
